台灣頻道,#genre#
Trill恐怖電影,http://192.168.0.114:6789/ublive.php?id=18
龍華電影,http://192.168.0.114:6789/ublive.php?id=311
華納電影,http://192.168.0.114:6789/ublive.php?id=83
靖天戲劇,http://192.168.0.114:6789/ublive.php?id=109
龍華洋片,http://192.168.0.114:6789/ublive.php?id=341
緯來體育,http://192.168.0.114:6789/ublive.php?id=118
緯來體育,http://192.168.0.114:6789/ublive.php?id=2732
Eleven Sport 1,http://192.168.0.114:6789/ublive.php?id=3224
Eleven Sport 2,http://192.168.0.114:6789/ublive.php?id=301
ELTA體育1,http://192.168.0.114:6789/ublive.php?id=192
ELTA體育1,http://192.168.0.114:6789/ublive.php?id=2729
ELTA體育2,http://192.168.0.114:6789/ublive.php?id=193
ELTA體育2,http://192.168.0.114:6789/ublive.php?id=2730
ELTA體育3,http://192.168.0.114:6789/ublive.php?id=194
ELTA體育3,http://192.168.0.114:6789/ublive.php?id=2731
ELTA體育3台,http://192.168.0.114:6789/ublive.php?id=2722
ELTA體育4,http://192.168.0.114:6789/ublive.php?id=2820
Z頻道,http://192.168.0.114:6789/ublive.php?id=1130
博斯無限,http://192.168.0.114:6789/ublive.php?id=381
博斯無限,http://192.168.0.114:6789/ublive.php?id=2797
博斯無限2,http://192.168.0.114:6789/ublive.php?id=426
博斯無限2,http://192.168.0.114:6789/ublive.php?id=2798
博斯運動1,http://192.168.0.114:6789/ublive.php?id=379
博斯運動2,http://192.168.0.114:6789/ublive.php?id=380
亞洲旅遊,http://192.168.0.114:6789/ublive.php?id=2299
探索頻道,http://192.168.0.114:6789/ublive.php?id=2817
探索頻道,http://192.168.0.114:6789/ublive.php?id=1035
大陸尋奇,http://192.168.0.114:6789/ublive.php?id=102
動物星球,http://192.168.0.114:6789/ublive.php?id=367
探索亞洲,http://192.168.0.114:6789/ublive.php?id=306
探索科學,http://192.168.0.114:6789/ublive.php?id=343
國家野生（英）,http://192.168.0.114:6789/ublive.php?id=1038
探索EVE,http://192.168.0.114:6789/ublive.php?id=1036
TaiwanPlus,http://192.168.0.114:6789/ublive.php?id=327
視納華仁紀實,http://192.168.0.114:6789/ublive.php?id=91
美食星球,http://192.168.0.114:6789/ublive.php?id=3073
美食星球,http://192.168.0.114:6789/ublive.php?id=1360
EYE旅遊,http://192.168.0.114:6789/ublive.php?id=1494
探索動力DMAX,http://192.168.0.114:6789/ublive.php?id=335
Globetrotter 環遊旅行家,http://192.168.0.114:6789/ublive.php?id=114
MOMO親子,http://192.168.0.114:6789/ublive.php?id=2767
MOMO親子,http://192.168.0.114:6789/ublive.php?id=1126
東森幼幼（備）,http://192.168.0.114:6789/ublive.php?id=2771
東森幼幼,http://192.168.0.114:6789/ublive.php?id=371
東森亞洲呦呦,http://192.168.0.114:6789/ublive.php?id=293
