央视频道,#genre#
四川康巴卫视,http://171.212.212.44:8000/udp/239.93.0.41:5140
宁夏卫视,http://171.212.212.44:8000/udp/239.93.0.247:5140
安徽卫视,http://171.212.212.44:8000/udp/239.93.1.106:5140
山东教育卫视,http://171.212.212.44:8000/udp/239.93.1.196:5140
山西卫视,http://171.212.212.44:8000/udp/239.93.0.6:5140
广西卫视,http://171.212.212.44:8000/udp/239.93.42.46:5140
康巴卫视,http://171.212.212.44:8000/udp/239.93.0.41:5140
新疆卫视,http://171.212.212.44:8000/udp/239.93.0.194:5140
河北卫视,http://171.212.212.44:8000/udp/239.93.0.132:5140
河南卫视,http://171.212.212.44:8000/udp/239.93.42.45:5140
甘肃卫视,http://171.212.212.44:8000/udp/239.93.0.81:5140
西藏卫视,http://171.212.212.44:8000/udp/239.93.0.175:5140
辽宁卫视,http://171.212.212.44:8000/udp/239.93.1.108:5140
陕西卫视,http://171.212.212.44:8000/udp/239.93.0.176:5140
青海卫视,http://171.212.212.44:8000/udp/239.93.0.192:5140
黑龙江卫视,http://171.212.212.44:8000/udp/239.93.0.183:5140

其他频道,#genre#
CHC影谜电影,http://111.175.61.103:4022/rtp/239.69.1.241:11088
CHC家庭影院,http://111.175.61.103:4022/rtp/239.69.1.243:11100
CHC动作电影,http://218.29.135.3:4000/rtp/225.1.4.208:1261
Now星影台,http://60.30.198.43:5080/HK/xy/hls.m3u8
四川电视台2,http://171.212.212.44:8000/udp/239.93.1.101:5140
四川电视台3,http://171.212.212.44:8000/udp/239.93.1.102:5140
四川电视台4,http://171.212.212.44:8000/udp/239.93.0.47:5140
四川电视台5,http://171.212.212.44:8000/udp/239.93.0.166:5140
四川电视台6,http://171.212.212.44:8000/udp/239.93.1.144:5140
四川电视台7,http://171.212.212.44:8000/udp/239.93.0.219:5140
四川电视台科教,http://171.212.212.44:8000/udp/239.93.42.44:5140
四川妇女儿童,http://171.212.212.44:8000/udp/239.93.0.219:5140
四川公共乡村,http://171.212.212.44:8000/udp/239.93.0.52:5140
四川经济,http://125.69.58.217:8000/udp/239.93.1.16:5140
四川经济,http://182.138.201.180:8000/udp/239.93.1.102:5140
四川文化旅游,http://125.69.58.217:8000/udp/239.93.1.20:5140
四川文化旅游,http://182.138.201.180:8000/udp/239.93.1.101:5140
四川乡村,http://171.212.212.44:8000/udp/239.93.0.52:5140
四川新闻,http://171.212.212.44:8000/udp/239.93.0.47:5140
四川影视文艺,http://125.69.58.217:8000/udp/239.93.1.195:5140
四川影视文艺,http://182.138.201.180:8000/udp/239.93.0.166:5140
成都电视台1,http://171.212.212.44:8000/udp/239.93.0.16:5140
成都电视台2,http://171.212.212.44:8000/udp/239.93.0.17:1239
成都电视台3,http://171.212.212.44:8000/udp/239.93.0.18:1238
成都电视台4,http://171.212.212.44:8000/udp/239.93.0.19:1250
成都电视台5,http://171.212.212.44:8000/udp/239.93.1.231:5140
成都电视台6,http://171.212.212.44:8000/udp/239.93.0.21:1251
成都电视台8,http://171.212.212.44:8000/udp/239.93.0.22:1252
爱动漫,http://171.212.212.44:8000/udp/239.93.42.23:5140
爱都市,http://171.212.212.44:8000/udp/239.93.42.15:5140
爱怀旧,http://171.212.212.44:8000/udp/239.93.42.21:5140
爱经典,http://171.212.212.44:8000/udp/239.93.42.13:5140
爱科幻,http://171.212.212.44:8000/udp/239.93.42.10:5140
爱奇谈,http://171.212.212.44:8000/udp/239.93.42.22:5140
爱青春,http://171.212.212.44:8000/udp/239.93.42.16:5140
爱赛车,http://171.212.212.44:8000/udp/239.93.42.20:5140
爱上4K 17M2160,http://125.69.58.217:8000/udp/239.93.1.251:8224
爱上4K 17M2160,http://182.138.201.180:8000/udp/239.93.1.113:5140
爱上4K,http://171.212.212.44:8000/udp/239.93.0.97:5140
爱生活,http://171.212.212.44:8000/udp/239.93.0.206:8028
爱体育,http://171.212.212.44:8000/udp/239.93.0.135:9008
爱玩具,http://171.212.212.44:8000/udp/239.93.42.18:5140
爱喜剧,http://171.212.212.44:8000/udp/239.93.42.9:5140
爱悬疑,http://171.212.212.44:8000/udp/239.93.42.12:5140
爱幼教,http://171.212.212.44:8000/udp/239.93.42.17:5140
爱院线,http://171.212.212.44:8000/udp/239.93.42.11:5140
电竞天堂,http://171.212.212.44:8000/udp/239.93.1.135:5140
谍战剧场,http://171.212.212.44:8000/udp/239.93.0.95:5140
东方财经,http://171.212.212.44:8000/udp/239.93.1.165:5140
动画番剧,http://171.212.212.44:8000/udp/239.93.1.177:5140
都市剧场,http://171.212.212.44:8000/udp/239.93.42.30:5140
港剧风云,http://171.212.212.44:8000/udp/239.93.0.143:5140
青春动漫,http://171.212.212.44:8000/udp/239.93.0.146:5140
求索频道,http://171.212.212.44:8000/udp/239.93.42.24:5140
全球大片,http://171.212.212.44:8000/udp/239.93.0.105:5140
热播剧场,http://171.212.212.44:8000/udp/239.93.0.56:9020
热门剧场,http://171.212.212.44:8000/udp/239.93.0.140:5140
热门综艺,http://171.212.212.44:8000/udp/239.93.0.151:5140
热血剧场,http://171.212.212.44:8000/udp/239.93.1.198:5140
百姓健康,http://171.212.212.44:8000/udp/239.93.42.35:5140
宝宝动画,http://171.212.212.44:8000/udp/239.93.0.147:5140
财富天下,http://171.212.212.44:8000/udp/239.93.0.116:9136
茶频道,http://171.212.212.44:8000/udp/239.93.0.114:5140
成都体育,http://171.212.212.44:8000/udp/239.93.0.224:1281
传奇,http://171.212.212.44:8000/udp/239.93.0.235:1282
创新及人才文化节,http://171.212.212.44:8000/udp/239.93.42.59:5140
大爱旅游,http://171.212.212.44:8000/udp/239.93.42.70:5140
大爱生活,http://171.212.212.44:8000/udp/239.93.42.71:5140
大爱时尚,http://171.212.212.44:8000/udp/239.93.42.72:5140
大爱四川,http://171.212.212.44:8000/udp/239.93.1.110:5140
地理,http://171.212.212.44:8000/udp/239.93.0.200:9052
快乐垂钓,http://171.212.212.44:8000/udp/239.93.1.151:5140
来钓鱼吧,http://171.212.212.44:8000/udp/239.93.42.8:5140
乐龄学堂,http://171.212.212.44:8000/udp/239.93.1.179:5140
麻辣体育,http://171.212.212.44:8000/udp/239.93.42.2:5140
魅力时尚,http://171.212.212.44:8000/udp/239.93.0.190:9012
墨宝,http://171.212.212.44:8000/udp/239.93.0.215:9132
汽车频道,http://171.212.212.44:8000/udp/239.93.0.117:1292
汽摩,http://171.212.212.44:8000/udp/239.93.0.62:5140
蓉城先锋,http://171.212.212.44:8000/udp/239.93.0.91:2101
上海纪实,http://171.212.212.44:8000/udp/239.93.1.137:5140
少儿动画,http://171.212.212.44:8000/udp/239.93.0.193:9000
少儿天地,http://171.212.212.44:8000/udp/239.93.42.34:5140
生活时尚,http://125.69.58.217:8000/udp/239.93.42.29:5140


2024-04-29更新,#genre#
